DATASET,DATA_ID,STUDY_PART,TEXT,GROUND_TRUTH_LABEL
deliberation-sarcasm,19179,breadth,"Product: Holy Bible: Stock Car Racing (Paperback)Review Title: ""Gave as a gift to a friend that loves stock car racing.""I bought these bibles to give as gifts to my friends that love stock car racing. They were impressed with the stories of the race drivers they found in the bible. I gave one to my church to help reach  young people that might otherwise not pickup a bible. I wish they would make one for motorcycle riders.  I am a member of CMA and would use this as an outreach tool.  Chris Cline, Overland Park, KS",
deliberation-sarcasm,19181,breadth,"Product: Gravis Eliminator AfterShock Rumble Game Pad  USB (G48031) (Electronics)Review Title: ""Complete Garbage...""I bought this before reading the reviews, which is unlike me.  Once I saw the experiences the other buyers had had, I was nervous, but convinced myself that it would be fine.  I run XP, so I downloaded the software from the Gravis site, installed everything, and tried a game.  The D pad wouldn't work, despite the fact that I had downloaded the XP software.  If this had been the only problem, I would have figured that I had just done something wrong, but the joysticks were awful!  Half the time, I would move the joystick up, to move forward, and when I released it my character kept going forward.  Not great when you're standing on the edge of a cliff.  I found it impossible to get any kind of control over my game characters, not nearly enough to even consider being able to use the gamepad for games.  Another thing about the gamepad is that, although I tried it in the store, to get a feel for it, I decided rather quickly that, regardless of how it worked, it just wasn't right for my small hands (I'm female, and have exceptionally small hands).  I can't call this a complaint, just a matter of personal preference.  When I viewed the ""Read Me"" file on this thing, and came to the section about ""Known Bugs"", I about had a heart attack at all of the problems this thing is ""known"" to have!  After every single bug listed, they gave a completely lame, unsatisfactory ""solution"".  For instance, one bug said that games often take a moment to respond to input from the controller.  Their solution? ""Please wait a moment after each button click, to give the game time to respond"".  Erm, sure; I'll just politely ask 200 Orcs to stop attacking me while Aragorn takes a moment to respond, no problem.  I'm not by any means an extremely serious gamer with unrealistically high expectations for my equipment; I just like to play sometimes, and want moderately sufficient results.  This controller came nowhere near that, and I'll be returning it tomorrow morning, after only owning it for about 18 hours.",
deliberation-sarcasm,19183,breadth,"Product: The Twilight Saga: New Moon [Blu-ray] (Blu-ray)Review Title: ""Underworld + Dawson's Creek + Teen Beat Magazine = New Moon""Bart Simpson put it best ""only a girl could make a movie with vampires and werewolves boring.."" That describes ""New Moon"" perfectly.  The first Twilight film was tolerable. Slow moving, a little flat, but tolerable. Instead of moving things to a new level, New Moon wallows in the same somber material that was in the first film. But this time, girls, there are boys with no shirts = werewolves! How exciting? No, not really -  especially when there is so much maudlin dialog spread throughout this film.  I have to give credit to the marketing people and the producers. They managed to create something that can directly tap into the pre-teen, teen female movie-goer. Guys know, sensitivity is a hard thing to fake, but if you fake it well then you, just like this film,  will be real popular with the ladies. The romantic mythology of this age group is a very powerful thing and this film carefully harnesses that energy, generating massive ticket sales.   But is the film deserving of such attention? No, its not well made, the acting is boring and bad and the movie is unintentially funny. Lets hope this fad dies a quick death.",
deliberation-sarcasm,19187,breadth and depth,"Product: Sweet Little Lies: An L.A. Candy Novel (Hardcover)Review Title: ""pretty sure my IQ dropped trying to read this...""After reading the short, choppy sentences with little to no substance in the first LA Candy book, I amazed myself by giving Sweet Little Lies a shot. I got to about the third page before I had to stop, because I literally felt like I was putting myself at a disadvantage by attempting to read this. Save yourself the time and brain cells and pick up a book by someone other than a former MTV reality star.",
deliberation-sarcasm,19188,breadth,"Product: The Biggest Loser Workout: Cardio Max (DVD)Review Title: ""Disappointing workout DVD""People, this DVD is NOT for anyone who is already active and is less than 20 lbs. overweight. I bought this because it seemingly had three 20-minute cardio segments and I thought I'd get a great cardio workout. NOT. In the 1st segment, the instructor is primarily running his mouth (in an attempt to motivate) and not really participating much in the actual routine. All you see is several blubbery, out of shape, out of breath flabby folks who cannot stay in unison or use proper technique to save their lives. The viewer is left with a mish-mash of poor technique and a flamboyant instructor running his mouth (and hovering around the ""boys""). This may be a helpful start for those who have never worked out in their lives and who are 75 lbs OR MORE overweight but for those of us who've been moderate-to extremely active and have less than 20-30 lbs. to lose, you may not find this DVD useful on any level. I am used to seeing in-shape and toned bodies on my workout DVD's, providing a VISUAL GOAL for myself. Right? Why would someone who is hoping to drop a few lbs want to see grossly out-of-shape folks on their TV screen? I give them props for getting off their bottoms and trying to get healthy. But I truly recommend this DVD to the extremely overweight and inactive. The other 2 segments at least have the instructors working out (more than the 1st instructor) but the routines are low-cardio and mundane. And of course, the group is way out of unison.  *I was aware that the Biggest Loser cast was in the video; I just didn't realize they'd be so awful and pathetic. Sorry for the unkind words.",
deliberation-sarcasm,19190,breadth,"Product: Panasonic ER421KC Nose and Ear Hair Trimmer, Wet/Dry, Lighted (Health and Beauty)Review Title: ""Man, it's a nose trimmer, take it easy...""wow, the detail over such a little thing.  Look, it works great.  does the job... no complaints and a hell of a lot better than the crappy ones i got drug stores branded with the name 'conair'.  those really stunk. The quality difference is night and day.    And, the light: you aren't supposed to use the light WHILE you are using it.  It's for inspection before and after.",
deliberation-sarcasm,19196,breadth,"Product: Under My Skin (Audio CD)Review Title: ""OMG OMG!!!!!!!!""THIS IS THE MOSE PUNK ALBUM OF ALL TIME!!!! Avril is a goddess on the guitar and writes music better than ANYONE else. She is also da best s8kt0r in history. Her lyrics are genius. All the 5 star reviewers here are genius and cultered, just like myself. Like many people, I love talented musicians. And where do you find those? TRL of course!! You should get this if you want good music. If you want good music then also get:  -Nirvana (music became good after them and Kurt is second to only avril on guitar) - Good Charlotte, Blink 182, Simple plan (brutal punk rock) - g-unit (there is no greater team of musicians with more overall talent) - Vanilla Ice (created Rap and hip-hop. Ice Ice baby!) - Kenny G (he's sold more albums than any other instrumental ""artist"", so therefore he is better) - Ashlee Simpson  - Limp Bizkit (created metal) -Linkin Park -Metallica (St Anger may be the best metal album ever that doesn't feature Fred Durst)  This is what you should not get:  -Miles Davis (this guy was a poser. Get Kenny G instead) -baroque classical posers like Mozart, Bach, Paganini, Beethoven, Chopin etc  -self proclaimed ""rock"" bands ie Led Zeppelin, AC/DC, The Who, Queen etc -posers who think they can play the guitar (Segovia, Rhodes, Satriani, Friedman, Holdsworth, Reinhardt, Van Halen etc) - socalled ""metal bands"" like old Metallica, Megadeth, Black Sabbath and Iron Maiden -any of that ""progressive"" crap like Dream Theater",
deliberation-sarcasm,19202,breadth and depth,"Product: Armageddon (1998) [VHS] (VHS Tape)Review Title: ""The worst movie I've ever paid to see""It's been a year so I'm fuzzy on some details of the ""plot"" but I vividly remember how awful this was, even embarrassing to watch. I know very little about physics but I knew the ""science"" was bogus.  More problems: 1. Drunk Russian stereotype - yeah, he's smart enough to be  an astronaut but even their scientists are vodka-swilling boozehounds. 2.  Willis chases Affleck with shotgun after finding B.A. in bed with L.Tyler;  so unfunny and another movie cliche 3. Fire on asteroid? No oxygen for it  to burn. 4. No bomb can blow up asteroid that big 5. They become astronauts  after a few weeks training. 6. Bruce Willis' presence. 7. Yet more  stereotypes: Fat guy, big black guy, goofy yet smart little guy, etc. You  know the routine.  8. NASA people incompetent; stand around and let an oil  driller run show. 9. Love scene between LT and BA 10.Aerosmith soundtrack.  Don't always dislike them, but these songs were crappy. 11....ad infinitum:  The bad science I mentioned earlier. I wish a real asteroid had hit the set  when they were shooting this.  Absolutely horrific. Appalling. I was so  embarrassed to be watching this movie.  Please, spare yourself the torture.",
deliberation-sarcasm,19203,breadth,"Product: Senseo Dark Roast Coffee, 18-Count Pods (Pack of 6) (Grocery)Review Title: ""Weak and Bitter""terrible swill.  I can't belive this is from the company that WANTS to sell you their coffee maker.  Try the Millstone or if you can find it the Target brands instead.",
deliberation-sarcasm,19204,breadth and depth,"Product: Guilty Pleasures (Anita Blake, Vampire Hunter) (Paperback)Review Title: ""Depressing""All the hundreds of thousands of wannabe writers out there (including yours truly) and THIS is what gets published.  Granted, it's a great premise, its just terrible writing and saddest of all (judging by the success of this series) no one can tell the difference.  But by all means if you want writing that tells instead of shows, ideas that don't develop any further than it takes to read in a chapter about the length of a visit to the toilet and characters as memorable and charismatic as the physical paper they are printed on, don't delay, this is the book you've been waiting for.  On the other hand, it's only fair that I point out that I've seen the comic book version and it's perfectly suited for that medium, it works much better in that form.    I'm not here to bash the writer, her success or loyal fans, just offering a warning to anyone who might stumble across this review to reconsider before diving in.  Ms Hamilton is cackling all the way to the bank, I'm certain her writing has improved over the course of the series  and I certainly don't begrudge her success one iota.  I just didn't like her book, in a big way.",
