DATA_ID,DATASET,ANNOTATOR_ID,STUDY_PART,ORDER,LABEL_ID,ORIGINAL_LABEL,ORIGINAL_CONFIDENCE,EVIDENCE,QUESTION_DO_YOU_THINK_OTHER_PEOPLE_MIGHT_CHOOSE_A_DIFFERENT_ANSWER_THAN_YOU_DID,QUESTION_WHY_DO_YOU_THINK_OTHER_PEOPLE_MIGHT_CHOOSE_A_DIFFERENT_ANSWER,QUESTION_PLEASE_ELABORATE_ON_YOUR_ANSWER_TO_THE_PREVIOUS_QUESTION_EXPLAINING_WHY_YOU_THINK_OTHER_PEOPLE_MIGHT_CHOOSE_A_DIFFERENT_ANSWER,QUESTION_IF_THERE_WERE_OTHER_PEOPLE_WHO_CHOSE_A_DIFFERENT_ANSWER_THAN_YOU_DID_DO_YOU_THINK_A_GROUP_DISCUSSION_WOULD_HELP_TO_RESOLVE_THE_CASE,DELIBERATION_ID
19177,deliberation-sarcasm,3849,depth,22,4627,not_sarcastic,1,"[{""comment"": """", ""start"": 3071, ""end"": 3284, ""quote"": ""By averaging, I got the overall rating of 4 stars for this album, which is better then the overall rating I got for Let Go.  I would suggest listening to clips of the songs here on Amazon before purchasing, though""}]",I expect most people to agree with me.,,,,
19177,deliberation-sarcasm,4150,depth,22,4625,not_sarcastic,1,"[{""comment"": ""can't agree more"", ""start"": 184, ""end"": 301, ""quote"": ""Not only do her songs have less cheesy lines in them, but you can tell just by looking at her that she is more mature""}]",I expect most people to agree with me.,,,,
19177,deliberation-sarcasm,186,depth,30,4303,not_sarcastic,1,"[{""comment"": ""This review contains no obvious jokes."", ""start"": 304, ""end"": 461, ""quote"": ""I found this album to be a little depressing because there aren't too many cheerful, upbeat songs like there were on Let Go, but still a cool pop/rock album!""}]",I expect most people to agree with me.,,,,
19177,deliberation-sarcasm,1297,depth,22,4605,not_sarcastic,1,"[{""comment"": ""after a lengthy non sarcastic review of EACH song she gives it a rating. very boring review, no sarcasm just someone with too much time on their hands...."", ""start"": 3071, ""end"": 3135, ""quote"": ""By averaging, I got the overall rating of 4 stars for this album""}]",I expect most people to agree with me.,,,,
19178,deliberation-sarcasm,186,depth,16,4233,not_sarcastic,1,"[{""comment"": ""Review is sincere and joke-free."", ""start"": 958, ""end"": 1031, ""quote"": ""Just a fine, not overly done flavor that does fill you up prior to eating""}]",I expect most people to agree with me.,,,,
19178,deliberation-sarcasm,8376,depth,16,4259,not_sarcastic,1,"[{""comment"": ""sounds like an honest review."", ""start"": 649, ""end"": 811, ""quote"": ""I would like to stay healthy and maintain normal eating habits so this bar is great for me for just that reason, but it does seem to help with weight loss as well""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,8423,breadth,3,5235,sarcastic,1,[],I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,857,breadth,11,6003,not_sarcastic,0.5,"[{""comment"": ""This is weird, but I don't think it was meant as sarcasm. Truthfully, I don't know how serious the person was here, particularly since I can't see the actual product or how it was marketed."", ""start"": 283, ""end"": 374, ""quote"": ""I gave one to my church to help reach  young people that might otherwise not pickup a bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,8451,depth,11,6536,sarcastic,0.5,"[{""comment"": ""Sarcastic and funny"", ""start"": 283, ""end"": 374, ""quote"": ""I gave one to my church to help reach  young people that might otherwise not pickup a bible""}]",I expect only about half of the people to agree with me.,"[""The text contains some features that indicate target category A and some features that indicate target category B.""]", Because some of it isn't sarcastic.,"No, a group discussion would not help to resolve the case.",
19179,deliberation-sarcasm,1887,breadth,7,6765,not_sarcastic,1,"[{""comment"": ""Explains usefulness of the product from perosnal experience"", ""start"": 201, ""end"": 374, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible. I gave one to my church to help reach  young people that might otherwise not pickup a bible""}]",I expect most people to agree with me.,,,,438
19179,deliberation-sarcasm,238,depth,16,3998,sarcastic,0.5,"[{""comment"": ""Sarcastic."", ""start"": 283, ""end"": 374, ""quote"": ""I gave one to my church to help reach  young people that might otherwise not pickup a bible""}]",I expect only about half of the people to agree with me.,"[""The text is ambiguous because of missing context.""]", It seems to me this person is being sarcastic because he mentions bringing this book to church.  Stock car racers in the bible.,"Yes, a group discussion would help to resolve the case.",
19179,deliberation-sarcasm,8422,breadth,22,5373,not_sarcastic,1,"[{""comment"": ""This is clearly not sarcastic."", ""start"": 120, ""end"": 199, ""quote"": ""I bought these bibles to give as gifts to my friends that love stock car racing""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,5917,breadth,17,8118,not_sarcastic,1,"[{""comment"": ""good review"", ""start"": 201, ""end"": 281, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,989,depth,13,7669,sarcastic,0,"[{""comment"": ""...this is too ridiculous to be sincere."", ""start"": 201, ""end"": 281, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,389,breadth,7,6779,not_sarcastic,1,"[{""comment"": """", ""start"": 201, ""end"": 281, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,438
19179,deliberation-sarcasm,8504,depth,11,7754,sarcastic,0,"[{""comment"": ""There aren't stories of race drivers in the bible. I think this review is opportunistic of a product typo/misunderstanding"", ""start"": 201, ""end"": 281, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,8308,depth,18,7976,not_sarcastic,1,"[{""comment"": """", ""start"": 201, ""end"": 281, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,8414,breadth,2,5095,not_sarcastic,1,[],I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,8372,depth,16,3976,not_sarcastic,0.5,"[{""comment"": """", ""start"": 427, ""end"": 519, ""quote"": ""I am a member of CMA and would use this as an outreach tool.  Chris Cline, Overland Park, KS""}]",I expect only about half of the people to agree with me.,"[""The text is ambiguous because of missing context.""]", I think people would be confused as to what kind of Bible this is and whether or not it is a real Bible or joke book.,"Yes, a group discussion would help to resolve the case.",
19179,deliberation-sarcasm,8455,breadth,7,6767,sarcastic,0.5,"[{""comment"": ""No such stories in be Bible"", ""start"": 201, ""end"": 281, ""quote"": ""They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,438
19179,deliberation-sarcasm,69,breadth,14,5531,not_sarcastic,1,"[{""comment"": """", ""start"": 283, ""end"": 374, ""quote"": ""I gave one to my church to help reach  young people that might otherwise not pickup a bible""}]",I expect most people to agree with me.,,,,
19179,deliberation-sarcasm,1265,depth,16,4005,not_sarcastic,1,"[{""comment"": """", ""start"": 120, ""end"": 281, ""quote"": ""I bought these bibles to give as gifts to my friends that love stock car racing. They were impressed with the stories of the race drivers they found in the bible""}]",I expect most people to agree with me.,,,,
